OTU ID	A10-A3-mirai	A11-A1-OIST4	A4-A10-mirai	A5-A1-mirai	A9-A22-mirai	B10-A5-mirai	B11-A3-OIST4	B4-A14-mirai	B5-A9-mirai	B9-A29-mirai	C10-A6-mirai	C11-A9-OIST4	C4-A15-mirai	C5-A11-mirai	C9-A31-mirai	D10-A7-mirai	D11-A7-OIST5	D12-A11-OIST5	D4-A16-mirai	D5-A12-mirai	D9-A33-mirai	E10-A25-mirai	E11-A-Ae-USC	E4-A18-mirai	E5-A18-mirai	E9-A34-mirai	F10-A42-mirai	F11-A-C1-USC	F4-A20-mirai	F5-A20-mirai	F9-A35-mirai	G10-A3-OIST5	G11-A-C2-USC	G4-A28-mirai	G5-A28-mirai	G9-A36-mirai	H10-A6-OIST5	H11-A10-OIST5	H12-A12-OIST5	H4-A39-mirai	H5-A39-mirai	H9-A43-mirai
1d0591632c6552dd80e90cb4b6251005	100186	0	191	2205	123670	121444	0	114207	71849	204	73980	0	91	240	77	97	0	51424	68	61352	77	146	38145	76404	69860	95	223	100	4925	93292	74982	156	0	125	58759	101	46704	0	0	50	87	33
f6d682c88ebc136c785413380b29ab07	111	119	93061	36	125	99	398	124	99	96851	150	102	72104	63619	58560	93025	53	67	19413	178	90040	102266	0	44	78	0	92571	15	97	68	138	53984	40	40504	79	68866	72	30568	53634	75880	71241	0
5873f373e96884a5344cc1c4270a4462	0	40041	0	66618	0	0	98181	0	0	0	0	58633	0	0	0	0	48130	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2f0309d16484520e62239b1dcd358e77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	79	72	67017	0	0	0	0	0	0	0	0	0	0	86	0	366	0	0	74416
1e4ebb7a8bb78be851a9fb5b8fc229e3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b1d635a6891ff8ff50190f78b97286a0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45488	0	78	0	0	19515	0	0	0	0	0	0	0	0	0
b2a8213f912d0b48b69a9408eac17de1	5191	131	1523	242	1401	3109	541	2343	596	1452	1176	1182	2074	1809	2713	1507	720	0	902	607	1824	469	386	0	1407	2286	4518	476	0	476	816	529	300	776	294	1591	0	691	0	943	1579	2612
d206341f83c8fff231ce15ed12ffb557	0	178	643	0	1728	0	283	501	0	678	0	495	3437	919	1232	139	1661	943	0	267	2359	657	511	4215	1231	799	1430	1262	221	363	222	1402	706	903	245	1586	239	1658	1853	3812	2476	86
581da41271867932617989e6f8bb9afa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
aee5d94cc5640904a8b02b1758330575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dacbe540b69d9f9572b0f5108afaacc8	3923	0	3	87	3649	3904	0	3840	2540	5	2086	0	2	9	2	0	0	1445	0	2148	1	2	855	2643	2512	0	3	2	0	4977	2422	3	0	1	1988	0	1178	0	0	0	1	1
